iata_code,city,country,latitude,longitude,altitude,timezone,dst,aggregate_code
NOZ,Novokuznetsk,Russia,53.8114,86.8772,1024.0,8.0,N,0.0
FKI,Kisangani,Congo - Kinshasa,0.5175,25.155,1289.0,2.0,U,0.0
QRW,Osubi,Nigeria,5.31,5.45,50.0,1.0,U,0.0
BEW,Beira,Mozambique,-19.7964,34.9076,33.0,2.0,U,0.0
SAL,San Salvador,El Salvador,13.4409,-89.0557,101.0,-6.0,U,0.0
TRC,Torreon,Mexico,25.5683,-103.411,3688.0,-6.0,S,0.0
CGB,Cuiaba,Brazil,-15.6529,-56.1167,617.0,-4.0,S,0.0
TJM,Tyumen,Russia,57.1896,65.3243,378.0,6.0,N,0.0
CGD,Changde,China,28.9189,111.64,0.0,8.0,U,0.0
LPK,Lipetsk,Russia,52.7028,39.5378,584.0,4.0,N,0.0
AOE,Eskissehir,Turkey,39.8099,30.5194,2588.0,2.0,E,0.0
PEZ,Penza,Russia,53.1106,45.0211,614.0,4.0,N,0.0
ASU,Asuncion,Paraguay,-25.2398,-57.5191,292.0,-4.0,S,0.0
KIJ,Niigata,Japan,37.5711,139.065,1.0,9.0,U,0.0
ASF,Astrakhan,Russia,46.2833,48.0063,-65.0,6.0,N,0.0
ZUH,Zhuhai,China,22.0064,113.376,0.0,8.0,U,0.0
OOL,Coolangatta,Australia,-28.1644,153.505,21.0,10.0,N,0.0
REX,Reynosa,Mexico,26.0089,-98.2285,139.0,-6.0,S,0.0
MCX,Makhachkala,Russia,42.8168,47.6523,12.0,4.0,N,0.0
NTL,Newcastle,Australia,-32.78,151.83,31.0,10.0,O,0.0
JGA,Jamnagar,India,22.4655,70.0126,69.0,5.0,N,0.0
AJU,Aracaju,Brazil,-10.984,-37.0703,23.0,-3.0,S,0.0
SAP,San Pedro Sula,Honduras,15.4526,-87.9236,91.0,-6.0,U,0.0
TOF,Tomsk,Russia,56.3803,85.2083,597.0,8.0,N,0.0
TGZ,Tuxtla Gutierrez,Mexico,16.5618,-93.0261,1491.0,-6.0,S,0.0
GME,Gomel,Belarus,52.527,31.0167,471.0,3.0,E,0.0
AZD,Yazd,Iran,31.9049,54.2765,4054.0,4.0,E,0.0
SKT,Sialkot,Pakistan,32.5356,74.3639,810.0,5.0,N,0.0
YIH,Yichang,China,30.671,111.441,0.0,8.0,U,0.0
INC,Yinchuan,China,38.4819,106.009,3600.0,8.0,U,0.0
DAD,Danang,Vietnam,16.0439,108.199,33.0,7.0,U,0.0
LDB,Londrina,Brazil,-23.3336,-51.1301,1867.0,-3.0,S,0.0
IZA,Juiz de Fora,Brazil,-21.5131,-43.1731,1348.0,-3.0,S,0.0
UAQ,San Julian,Argentina,-31.5715,-68.4182,1959.0,-3.0,N,0.0
IXJ,Jammu,India,32.6891,74.8374,1029.0,5.0,N,0.0
KGA,Kananga,Congo - Kinshasa,-5.90005,22.4692,2139.0,2.0,U,0.0
BFN,Bloemfontein,South Africa,-29.0927,26.3024,4458.0,2.0,U,0.0
CBQ,Calabar,Nigeria,4.97602,8.3472,210.0,1.0,N,0.0
PZI,Panzhihua,China,26.54,101.799,9186.0,8.0,N,0.0
JOI,Joinville,Brazil,-26.2245,-48.7974,15.0,-3.0,S,0.0
ZAM,Zamboanga,Philippines,6.92242,122.06,33.0,8.0,N,0.0
KVX,Kirov,Russia,58.5033,49.3483,479.0,4.0,N,0.0
BKI,Kota Kinabalu,Malaysia,5.93721,116.051,10.0,8.0,N,0.0
DGO,Durango,Mexico,24.1242,-104.528,6104.0,-6.0,S,0.0
SFN,Santa Fe,Argentina,-31.7117,-60.8117,56.0,-3.0,N,0.0
PNK,Pontianak,Indonesia,-0.150711,109.404,10.0,7.0,N,0.0
BCD,Bacolod,Philippines,10.6425,122.93,25.0,8.0,N,0.0
MDC,Manado,Indonesia,1.54945,124.926,264.0,8.0,N,0.0
JNG,Jining,China,35.417,116.533,1540.0,8.0,U,0.0
CZL,Constantine,Algeria,36.276,6.62039,2265.0,1.0,N,0.0
CSY,Cheboksary,Russia,56.0903,47.3473,558.0,4.0,N,0.0
CGY,Ladag,Philippines,8.41562,124.611,601.0,8.0,N,0.0
MLX,Malatya,Turkey,38.4353,38.091,2828.0,2.0,E,0.0
PEI,Pereira,Colombia,4.81267,-75.7395,4416.0,-5.0,U,0.0
IQT,Iquitos,Peru,-3.78474,-73.3088,306.0,-5.0,U,0.0
MNU,Mawlamyine,Burma,16.4447,97.6607,52.0,6.0,U,0.0
GOU,Garoua,Cameroon,9.33589,13.3701,794.0,1.0,N,0.0
MWZ,Mwanza,Tanzania,-2.44449,32.9327,3763.0,3.0,U,0.0
MAM,Matamoros,Mexico,25.7699,-97.5253,25.0,-6.0,S,0.0
KGD,Kaliningrad,Russia,54.89,20.5926,42.0,3.0,N,0.0
BPN,Balikpapan,Indonesia,-1.26827,116.894,12.0,8.0,N,0.0
NMA,Namangan,Uzbekistan,40.9846,71.5567,1555.0,5.0,U,0.0
SMR,Santa Marta,Colombia,11.1196,-74.2306,22.0,-5.0,U,0.0
BLA,Barcelona,Venezuela,10.1071,-64.6892,26.0,-4.0,U,0.0
GAY,Gaya,India,24.7443,84.9512,380.0,5.0,N,0.0
PDK,Atlanta,United States,33.8756,-84.302,1003.0,-4.0,A,0.0
LXR,Luxor,Egypt,25.671,32.7066,294.0,2.0,U,0.0
IBE,Ibague,Colombia,4.42161,-75.1333,2999.0,-5.0,U,0.0
ELS,East London,South Africa,-33.0356,27.8259,435.0,2.0,U,0.0
ERZ,Erzurum,Turkey,39.9565,41.1702,5763.0,2.0,E,0.0
IWA,Ivanovo,Russia,56.9394,40.9408,410.0,4.0,N,0.0
DJB,Jambi,Indonesia,-1.63802,103.644,82.0,7.0,N,0.0
SKZ,Sukkur,Pakistan,27.722,68.7917,196.0,5.0,N,0.0
AKL,Auckland,New Zealand,-37.0081,174.792,23.0,12.0,Z,0.0
IXE,Mangalore,India,12.9613,74.8901,337.0,5.0,N,0.0
FLN,Florianopolis,Brazil,-27.6705,-48.5472,20.0,-3.0,S,0.0
MUN,Maturin,Venezuela,9.74907,-63.1534,224.0,-4.0,U,0.0
ADU,Ardabil,Iran,38.3257,48.4244,4315.0,3.0,E,0.0
CHG,Chaoyang,China,41.5381,120.435,0.0,8.0,U,0.0
URS,Kursk,Russia,51.7506,36.2956,686.0,4.0,N,0.0
PAC,Panama,Panama,8.97334,-79.5556,31.0,-5.0,U,0.0
PTY,Panama City,Panama,9.07136,-79.3835,135.0,-5.0,U,0.0
SDE,Santiago Del Estero,Argentina,-27.7656,-64.3101,656.0,-3.0,N,0.0
RES,Resistencia,Argentina,-27.45,-59.0561,173.0,-3.0,N,0.0
DPS,Denpasar,Indonesia,-8.74817,115.167,14.0,8.0,N,0.0
JXA,Jixi,China,45.3061,130.997,0.0,8.0,N,0.0
ZNZ,Zanzibar,Tanzania,-6.22202,39.2249,54.0,3.0,U,0.0
KSL,Kassala,Sudan,15.3875,36.3288,1671.0,2.0,U,0.0
WEF,Weifang,China,36.6467,119.119,0.0,8.0,U,0.0
NLA,Ndola,Zambia,-12.9981,28.6649,4167.0,2.0,U,0.0
SZF,Samsun,Turkey,41.2545,36.5671,18.0,2.0,E,0.0
SDK,Sandakan,Malaysia,5.9009,118.059,46.0,8.0,N,0.0
CNQ,Corrientes,Argentina,-27.4455,-58.7619,203.0,-3.0,N,0.0
APL,Nampula,Mozambique,-15.1056,39.2818,1444.0,2.0,U,0.0
OXB,Bissau,Guinea-Bissau,11.8948,-15.6537,129.0,0.0,N,0.0
ILO,Iloilo,Philippines,10.713,122.545,27.0,8.0,N,0.0
CAW,Campos,Brazil,-21.6983,-41.3017,57.0,-3.0,S,0.0
PSO,Pasto,Colombia,1.39625,-77.2915,5951.0,-5.0,U,0.0
CXJ,Caxias Do Sul,Brazil,-29.1971,-51.1875,2472.0,-3.0,S,0.0
KCM,Kahramanmaras,Turkey,37.539,36.9534,1723.0,2.0,E,0.0
SJP,Sao Jose Do Rio Preto,Brazil,-20.8166,-49.4065,1784.0,-3.0,S,0.0
VAN,Van,Turkey,38.4682,43.3323,5480.0,2.0,E,0.0
ABD,Abadan,Iran,30.3711,48.2283,19.0,4.0,E,0.0
KUA,Kuantan,Malaysia,3.77539,103.209,58.0,8.0,N,0.0
TTU,Tetouan,Morocco,35.5943,-5.32002,10.0,0.0,N,0.0
CHC,Christchurch,New Zealand,-43.4894,172.532,123.0,12.0,Z,0.0
STW,Stavropol,Russia,45.1092,42.1128,1486.0,4.0,N,0.0
VSA,Villahermosa,Mexico,17.997,-92.8174,46.0,-6.0,S,0.0
